,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date,community_owned_date
792,"['c#', '.net', 'bit-shift', 'int64']","{'account_id': 256268, 'reputation': 6255, 'user_id': 536874, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://i.stack.imgur.com/00yFk.jpg?s=256&g=1', 'display_name': 'Johannes', 'link': 'https://stackoverflow.com/users/536874/johannes'}",True,8648,2,7,1529328137,1341488796,1341488893.0,11343686,CC BY-SA 3.0,https://stackoverflow.com/questions/11343686/bit-shifting-with-int64,Bit-shifting with Int64,11343707.0,,,,
793,"['c#', '.net', 'automapper']","{'account_id': 26353, 'reputation': 22259, 'user_id': 68499, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/9064b2cb7d6c0f1b9c7ad8eba659c428?s=256&d=identicon&r=PG', 'display_name': 'Josh Close', 'link': 'https://stackoverflow.com/users/68499/josh-close'}",True,7608,5,24,1529088762,1341425349,1427147835.0,11333732,CC BY-SA 3.0,https://stackoverflow.com/questions/11333732/how-do-i-get-automapper-to-not-cache-mapped-objects,How do I get AutoMapper to not cache mapped objects?,29214924.0,,,,
794,"['c#', 'asp.net', 'image']","{'account_id': 1436533, 'reputation': 2806, 'user_id': 1357764, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/3a3fdec2053422b22465044453d2a089?s=256&d=identicon&r=PG', 'display_name': 'Nurlan', 'link': 'https://stackoverflow.com/users/1357764/nurlan'}",True,3168,3,0,1528702729,1342723788,1525276299.0,11567379,CC BY-SA 4.0,https://stackoverflow.com/questions/11567379/create-image-from-file-programmatically-asp-net-c,Create image from file programmatically asp.net C#,11567511.0,,,,
795,"['c#', 'windows-7']","{'account_id': 474469, 'reputation': 930, 'user_id': 884165, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://i.stack.imgur.com/YiLUE.jpg?s=256&g=1', 'display_name': 'Abdul Qadir Memon', 'link': 'https://stackoverflow.com/users/884165/abdul-qadir-memon'}",True,135,1,0,1528690163,1342201582,1528690163.0,11475633,CC BY-SA 4.0,https://stackoverflow.com/questions/11475633/accessing-a-file-in-windows7-using-c-code-by-providing-administrative-credentia,accessing a file in windows7 using C# Code by providing administrative credentials,,,,,
796,"['c#', 'xml', 'null', 'getelementbyid', 'xmldocument']","{'account_id': 1612595, 'reputation': 85, 'user_id': 1496508, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/0c9e2b81c33ad8b11faa70647c960b72?s=256&d=identicon&r=PG', 'display_name': 'Caixotim', 'link': 'https://stackoverflow.com/users/1496508/caixotim'}",True,13691,3,3,1528514880,1342431560,1398172807.0,11501716,CC BY-SA 3.0,https://stackoverflow.com/questions/11501716/xmldocument-getelementbyid-returning-null,XMLDocument GetElementByID returning null,11501772.0,,,,
797,"['c#', 'log4net', 'common.logging']","{'account_id': 240, 'reputation': 3924, 'user_id': 296, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/21ae3e5f2968bc957b7a6fa709bea2a0?s=256&d=identicon&r=PG', 'display_name': 'jdecuyper', 'link': 'https://stackoverflow.com/users/296/jdecuyper'}",True,39483,8,24,1528290480,1341601656,1343191317.0,11368267,CC BY-SA 3.0,https://stackoverflow.com/questions/11368267/failed-obtaining-configuration-for-common-logging-from-configuration-section-co,Failed obtaining configuration for Common.Logging from configuration section &#39;common/logging&#39;,11650125.0,,,,
798,"['c#', 'animation', 'xna-4.0', 'graphics2d']","{'account_id': 1574058, 'reputation': 41, 'user_id': 1461045, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/375b5a1c41420c09ca4e22b9abe76f65?s=256&d=identicon&r=PG', 'display_name': 'LordYabo', 'link': 'https://stackoverflow.com/users/1461045/lordyabo'}",False,1149,0,1,1528193202,1341970868,1341981649.0,11424391,CC BY-SA 3.0,https://stackoverflow.com/questions/11424391/how-to-modify-ease-out-bounce-equation-for-c-xna,How to modify ease out bounce equation for C# XNA?,,,,,
799,"['c#', 'access-modifiers']","{'account_id': 1580795, 'reputation': 157, 'user_id': 1466227, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/424423203bd76dbf8c4f1cf5ce71ce62?s=256&d=identicon&r=PG', 'display_name': 'Frazzle', 'link': 'https://stackoverflow.com/users/1466227/frazzle'}",True,26528,1,7,1527797802,1341501107,1341570628.0,11347278,CC BY-SA 3.0,https://stackoverflow.com/questions/11347278/what-does-this-error-mean-member-modifier-public-must-precede-the-member-type,What does this error mean: Member modifier &#39;public&#39; must precede the member type and name,11347506.0,,,,
800,"['c#', '.net', 'string']","{'account_id': 382222, 'reputation': 4632, 'user_id': 1504964, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/a06b19efdeb2d06f2897f7d25a455383?s=256&d=identicon&r=PG', 'display_name': 'Kyle V.', 'link': 'https://stackoverflow.com/users/1504964/kyle-v'}",True,39461,9,17,1527669073,1341581162,1341581387.0,11363083,CC BY-SA 3.0,https://stackoverflow.com/questions/11363083/get-index-of-nth-occurrence-of-char-in-a-string,Get index of nth occurrence of char in a string,11363206.0,,,,
801,"['c#', '.net', 'winforms', 'graphics', 'user-controls']","{'account_id': 1561, 'reputation': 25286, 'user_id': 2090, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/xrgix.jpg?s=256&g=1', 'display_name': 'Stormenet', 'link': 'https://stackoverflow.com/users/2090/stormenet'}",True,4459,2,2,1527456807,1342093061,1342093264.0,11451001,CC BY-SA 3.0,https://stackoverflow.com/questions/11451001/why-isnt-my-text-right-aligned-when-i-custom-draw-my-strings,Why isn&#39;t my text right aligned when I custom draw my strings?,11451172.0,,,,
802,"['c#', 'string-formatting']","{'account_id': 490804, 'reputation': 2811, 'user_id': 1058951, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/81581d14fbeb4b62502ae89137c2867f?s=256&d=identicon&r=PG', 'display_name': 'Mike U', 'link': 'https://stackoverflow.com/users/1058951/mike-u'}",True,42833,3,42,1527299381,1343698768,1439318301.0,11731996,CC BY-SA 3.0,https://stackoverflow.com/questions/11731996/string-format-numbers-thousands-123k-millions-123m-billions-123b,"String Format Numbers Thousands 123K, Millions 123M, Billions 123B",12331610.0,,,,
803,"['c#', 'pdf', 'printing']","{'account_id': 1218533, 'reputation': 357, 'user_id': 1185650, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/92f8361c1e24019264c6708c56c4c143?s=256&d=identicon&r=PG', 'display_name': 'IamaC', 'link': 'https://stackoverflow.com/users/1185650/iamac'}",True,5611,2,1,1527186465,1343246340,,11657651,CC BY-SA 3.0,https://stackoverflow.com/questions/11657651/print-pdf-in-duplex-mode-from-c,Print pdf in duplex mode From C#,,,,,
804,"['c#', 'rest', 'cookies', 'restsharp', 'rightscale']","{'account_id': 1685535, 'reputation': 81, 'user_id': 1548923, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ba47b441c42194ef8340eef0b18f758d?s=256&d=identicon&r=PG', 'display_name': 'user1548923', 'link': 'https://stackoverflow.com/users/1548923/user1548923'}",True,7968,1,8,1526976797,1343137871,1526976664.0,11632351,CC BY-SA 4.0,https://stackoverflow.com/questions/11632351/how-do-i-save-cookies-from-restresponse-and-pass-them-to-the-next-restrequest,How do I save cookies from RestResponse and pass them to the next RestRequest?,,,,,
805,"['c#', 'c#-4.0', '.net-4.0', 'smtp', 'gmail']","{'account_id': 22183, 'reputation': 12725, 'user_id': 54467, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://i.stack.imgur.com/RnwJd.jpg?s=256&g=1', 'display_name': 'Kaveh Shahbazian', 'link': 'https://stackoverflow.com/users/54467/kaveh-shahbazian'}",True,2508,3,1,1526963052,1342343609,,11490749,CC BY-SA 3.0,https://stackoverflow.com/questions/11490749/sending-email-via-gmail-and-net-4,Sending Email via GMail and .NET 4,11539901.0,,,,
806,"['java', 'c#', 'php', 'regex', 'perl']","{'account_id': 1149128, 'reputation': 2672, 'user_id': 1131217, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/593b474f6e95efa5616deb49c0dea750?s=256&d=identicon&r=PG', 'display_name': 'mk_89', 'link': 'https://stackoverflow.com/users/1131217/mk-89'}",True,11034,3,4,1526922316,1341272683,1526922316.0,11302690,CC BY-SA 4.0,https://stackoverflow.com/questions/11302690/regex-how-to-stop-at-first-occurrence-of-a-character,regex- how to stop at first occurrence of a character,11302717.0,,,,
807,"['c#', 'asp.net', 'asp.net-mvc', 'iis', 'iis-7.5']","{'account_id': 539744, 'reputation': 4143, 'user_id': 907700, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://i.stack.imgur.com/Z6CYU.jpg?s=256&g=1', 'display_name': 'kkocabiyik', 'link': 'https://stackoverflow.com/users/907700/kkocabiyik'}",False,1354,1,0,1526854676,1343479588,1526854676.0,11701141,CC BY-SA 4.0,https://stackoverflow.com/questions/11701141/creating-tcp-client-connection-in-asp-net-mvc,Creating TCP Client Connection in ASP.Net MVC,,,,,
808,"['c#', 'powerpoint', 'embedded-resource']","{'account_id': 458509, 'reputation': 809, 'user_id': 858431, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/8823be888d90b83bbe5f99660179be0a?s=256&d=identicon&r=PG', 'display_name': 'Tizz', 'link': 'https://stackoverflow.com/users/858431/tizz'}",False,1667,3,0,1526365935,1341336659,,11316137,CC BY-SA 3.0,https://stackoverflow.com/questions/11316137/display-an-image-in-a-table-cell-in-powerpoint-programmatically,Display an image in a table cell in powerpoint programmatically,,,,,
809,['c#'],"{'account_id': 1111154, 'reputation': 3396, 'user_id': 1101596, 'user_type': 'registered', 'accept_rate': 39, 'profile_image': 'https://i.stack.imgur.com/ITOKw.jpg?s=256&g=1', 'display_name': 'vikifor', 'link': 'https://stackoverflow.com/users/1101596/vikifor'}",True,13676,3,28,1526280624,1341927165,1521438339.0,11414452,CC BY-SA 3.0,https://stackoverflow.com/questions/11414452/is-there-a-way-to-check-if-text-is-in-cyrillics-or-latin-using-c,Is there a way to check if text is in cyrillics or latin using C#?,11414800.0,,,,
810,"['c#', 'web-services', 'dynamic', 'asmx']","{'account_id': 1633332, 'reputation': 165, 'user_id': 1507454, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4f422abb2e4d907e7cd7a1d419ff24c0?s=256&d=identicon&r=PG', 'display_name': 'YouGotCSharpInMyJava', 'link': 'https://stackoverflow.com/users/1507454/yougotcsharpinmyjava'}",False,5218,1,2,1526192976,1342644471,1393278049.0,11550077,CC BY-SA 3.0,https://stackoverflow.com/questions/11550077/dynamically-invoke-a-web-service-at-runtime,Dynamically invoke a web service at runtime,,,,,
811,"['c#', 'multithreading', 'udp']","{'account_id': 1233989, 'reputation': 678, 'user_id': 1197993, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/cb7f7be2496ac5e53ae3c3d45692c218?s=256&d=identicon&r=PG', 'display_name': 'user112016322', 'link': 'https://stackoverflow.com/users/1197993/user112016322'}",True,19555,4,6,1525978889,1343400589,1343401008.0,11690242,CC BY-SA 3.0,https://stackoverflow.com/questions/11690242/udp-bind-method,UDP Bind Method,11691284.0,,,,
812,"['c#', '.net', 'regex']","{'account_id': 319393, 'reputation': 32864, 'user_id': 637142, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/e048b74ce81d0005ce82b0ef5b85b48a?s=256&d=identicon&r=PG', 'display_name': 'Tono Nam', 'link': 'https://stackoverflow.com/users/637142/tono-nam'}",True,2807,3,11,1525934869,1343137517,,11632247,CC BY-SA 3.0,https://stackoverflow.com/questions/11632247/how-does-non-backtracking-subexpression-work-exp,How does non-backtracking subexpression work &quot;(?&gt;exp)&quot;,11632407.0,,,,
813,"['c#', 'emgucv']","{'account_id': 432141, 'reputation': 17083, 'user_id': 816721, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/8444cf72fac7e9065e0c68d70246a36d?s=256&d=identicon&r=PG', 'display_name': 'rkmax', 'link': 'https://stackoverflow.com/users/816721/rkmax'}",True,27317,5,13,1525901470,1341609017,1440989094.0,11369684,CC BY-SA 3.0,https://stackoverflow.com/questions/11369684/emgucv-typeinitializationexception,EmguCV TypeInitializationException,11376375.0,,,,
814,['c#'],"{'account_id': 428324, 'reputation': 377, 'user_id': 810576, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/f2f53af7d35ed728b73ab3605694426f?s=256&d=identicon&r=PG', 'display_name': 'haxxoromer', 'link': 'https://stackoverflow.com/users/810576/haxxoromer'}",True,2983,2,9,1525723247,1343671092,1343840248.0,11726956,CC BY-SA 3.0,https://stackoverflow.com/questions/11726956/generic-type-pointers-and-casting-byte-array-to-given-type-of-generic,Generic type pointers? and casting byte array to given type of generic?,,,,,
815,"['c#', 'forms', 'file', 'post']","{'account_id': 1618731, 'reputation': 802, 'user_id': 1495756, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/74984f86d0fa97892c3107fe48e3b38c?s=256&d=identicon&r=PG', 'display_name': 'lenden', 'link': 'https://stackoverflow.com/users/1495756/lenden'}",True,57,1,0,1525442321,1341399227,1525442321.0,11327649,CC BY-SA 4.0,https://stackoverflow.com/questions/11327649/how-to-upload-an-array-of-files-to-a-web-server-from-an-application,How to upload an array of files to a web-server from an application?,11327687.0,,,,
816,"['c#', 'asp.net', 'sql-server', 'stored-procedures', 'ado.net']","{'account_id': 1618953, 'reputation': 63, 'user_id': 1495947, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/d0772bc929866dcb4294d70b14b8b404?s=256&d=identicon&r=PG&f=1', 'display_name': 'mshiyam', 'link': 'https://stackoverflow.com/users/1495947/mshiyam'}",True,31261,3,4,1525437688,1341229299,1525437688.0,11292940,,https://stackoverflow.com/questions/11292940/use-sql-server-stored-procedure-output-in-asp-net-c,Use SQL Server Stored procedure output in asp.net c#,11293220.0,1341254397.0,not a real question,,
817,"['c#', 'asp.net', '.net']","{'account_id': 448523, 'reputation': 3429, 'user_id': 842767, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://i.stack.imgur.com/8eWOv.jpg?s=256&g=1', 'display_name': 'levi', 'link': 'https://stackoverflow.com/users/842767/levi'}",True,711,2,0,1525359211,1343293236,1525359211.0,11665807,CC BY-SA 4.0,https://stackoverflow.com/questions/11665807/page-scope-variables-disappear,Page Scope Variables Disappear,11665985.0,,,,
818,"['c#', 'asp.net', 'security', 'authentication']","{'account_id': 1234822, 'reputation': 1864, 'user_id': 1198631, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/a2abbd1b0b05cb66d75934d153b73f37?s=256&d=identicon&r=PG', 'display_name': 'Andrew Backes', 'link': 'https://stackoverflow.com/users/1198631/andrew-backes'}",True,1064,2,2,1524665706,1342191966,,11473166,CC BY-SA 3.0,https://stackoverflow.com/questions/11473166/authentication-without-using-forms-authentication,Authentication without using Forms Authentication,11473422.0,,,,
819,"['c#', 'asp.net', 'webforms']","{'account_id': 421735, 'reputation': 15926, 'user_id': 800123, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/bZMq5.jpg?s=256&g=1', 'display_name': 'Jack', 'link': 'https://stackoverflow.com/users/800123/jack'}",True,1841,3,2,1524649381,1341453627,1524649381.0,11337054,CC BY-SA 3.0,https://stackoverflow.com/questions/11337054/how-to-concat-a-variable-into-some-asp-attribute,How to concat a variable into some &lt;asp: .. /&gt; attribute?,11337072.0,,,,
820,"['c#', '.net', 'security', 'delegates']","{'account_id': 1635103, 'reputation': 327, 'user_id': 1508819, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/3ca453ef01b60ba716c277ba26744658?s=256&d=identicon&r=PG', 'display_name': 'Terry Price', 'link': 'https://stackoverflow.com/users/1508819/terry-price'}",True,3090,5,10,1524465654,1341670501,1341675042.0,11375718,CC BY-SA 3.0,https://stackoverflow.com/questions/11375718/what-does-the-statement-delegates-are-secure-mean,What does the statement &quot;delegates are secure&quot; mean?,,,,,
821,"['c#', 'asp.net', 'json', 'web-services']","{'account_id': 1577241, 'reputation': 2358, 'user_id': 1463384, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://i.stack.imgur.com/vBt5b.jpg?s=256&g=1', 'display_name': 'thatuxguy', 'link': 'https://stackoverflow.com/users/1463384/thatuxguy'}",True,63365,5,11,1524431593,1342080475,,11447538,CC BY-SA 3.0,https://stackoverflow.com/questions/11447538/how-to-return-json-from-webservice,How to return JSON from webservice,11447596.0,,,,
822,"['c#', 'c', 'windows', 'keyboard-shortcuts', 'key']","{'account_id': 421735, 'reputation': 15926, 'user_id': 800123, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/bZMq5.jpg?s=256&g=1', 'display_name': 'Jack', 'link': 'https://stackoverflow.com/users/800123/jack'}",False,101,1,0,1524343354,1342915518,1524343354.0,11596774,CC BY-SA 3.0,https://stackoverflow.com/questions/11596774/reading-ctrl-until-found-a-non-digit-from-keyboard,Reading Ctrl + until found a non-digit from keyboard,,,,,
823,"['c#', 'winforms', 'datagridview']","{'account_id': 1646961, 'reputation': 37, 'user_id': 1518332, 'user_type': 'registered', 'accept_rate': 14, 'profile_image': 'https://www.gravatar.com/avatar/156cd669ba36d4d8671dbb15fa602150?s=256&d=identicon&r=PG', 'display_name': 'Maryam Taghavi', 'link': 'https://stackoverflow.com/users/1518332/maryam-taghavi'}",True,7019,4,2,1523930876,1342333512,1342354915.0,11489902,CC BY-SA 3.0,https://stackoverflow.com/questions/11489902/automatically-build-number-in-datagridview,Automatically build number in DataGridView,,,,,
824,"['c#', 'model']","{'account_id': 432141, 'reputation': 17083, 'user_id': 816721, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/8444cf72fac7e9065e0c68d70246a36d?s=256&d=identicon&r=PG', 'display_name': 'rkmax', 'link': 'https://stackoverflow.com/users/816721/rkmax'}",False,170,1,0,1523917285,1341971195,1523917285.0,11424429,CC BY-SA 3.0,https://stackoverflow.com/questions/11424429/how-to-make-crud-mm-relationship-c,How to make CRUD m:m relationship c#,,,,,
825,"['c#', 'regex']","{'account_id': 4582, 'reputation': 7710, 'user_id': 6948, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/74b191fef8ae2e90f9ed57675a09bad2?s=256&d=identicon&r=PG', 'display_name': 'leoinfo', 'link': 'https://stackoverflow.com/users/6948/leoinfo'}",True,5144,4,7,1523898975,1343655084,1495539961.0,11722625,CC BY-SA 3.0,https://stackoverflow.com/questions/11722625/regex-to-extract-the-first-6-to-10-digit-number-excluding-8-digit-numbers,"RegEx to extract the first 6 to 10 digit number, excluding 8 digit numbers",11722692.0,,,1523899591.0,
826,"['c#', 'pdf', 'itextsharp']","{'account_id': 1194095, 'reputation': 1291, 'user_id': 1328247, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/ca6f09cb95d67b92e8b65e78cd9ad348?s=256&d=identicon&r=PG', 'display_name': 'amesh', 'link': 'https://stackoverflow.com/users/1328247/amesh'}",True,33226,3,3,1523597032,1341306486,1341307862.0,11307749,CC BY-SA 3.0,https://stackoverflow.com/questions/11307749/creating-multiple-page-pdf-using-itextsharp,Creating multiple page pdf using iTextSharp,11316565.0,,,,
827,"['c#', 'webclient']","{'account_id': 434648, 'reputation': 11592, 'user_id': 820750, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/MVCaR.png?s=256&g=1', 'display_name': 'Drahcir', 'link': 'https://stackoverflow.com/users/820750/drahcir'}",True,11126,4,6,1523427827,1342528571,,11522577,CC BY-SA 3.0,https://stackoverflow.com/questions/11522577/webclient-downloadfileasync-how-can-i-display-download-speed-to-the-user,WebClient DownloadFileAsync - How can I display download speed to the user?,11523014.0,,,,
828,"['c#', 'arrays', 'oop', 'listbox']","{'user_type': 'does_not_exist', 'display_name': 'user1456330'}",True,4708,5,1,1523306003,1342273029,1342273290.0,11484214,CC BY-SA 3.0,https://stackoverflow.com/questions/11484214/parallel-array-c,Parallel array C#,11484232.0,,,,
829,"['c#', 'multithreading', 'parallel-processing', 'task-parallel-library', 'task']","{'account_id': 539767, 'reputation': 3265, 'user_id': 907734, 'user_type': 'registered', 'accept_rate': 48, 'profile_image': 'https://www.gravatar.com/avatar/fcb84858080e7d7a514cbb76d0a0ee86?s=256&d=identicon&r=PG', 'display_name': 'William', 'link': 'https://stackoverflow.com/users/907734/william'}",True,18997,1,19,1523222333,1342915249,1395236426.0,11596753,CC BY-SA 3.0,https://stackoverflow.com/questions/11596753/when-is-the-system-threading-task-useful,When is the System.Threading.Task useful?,11599062.0,,,,
830,"['c#', 'database', 'winforms']","{'account_id': 1629021, 'reputation': 431, 'user_id': 1503950, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/be1c978dc030952d937cebbec48a4f19?s=256&d=identicon&r=PG', 'display_name': 'siddharth', 'link': 'https://stackoverflow.com/users/1503950/siddharth'}",True,3745,1,3,1523077335,1341905853,1523077335.0,11408653,CC BY-SA 3.0,https://stackoverflow.com/questions/11408653/database-image-field-passing-null-value,database image field passing null value,11408872.0,,,,
831,"['c#', 'asp.net']","{'account_id': 421735, 'reputation': 15926, 'user_id': 800123, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/bZMq5.jpg?s=256&g=1', 'display_name': 'Jack', 'link': 'https://stackoverflow.com/users/800123/jack'}",True,1344,1,0,1523025926,1341639474,1523025926.0,11372579,CC BY-SA 3.0,https://stackoverflow.com/questions/11372579/problems-with-accents-on-page,Problems with accents on page,11372973.0,,,,
832,"['c#', 'design-patterns', 'instance']","{'account_id': 379916, 'reputation': 1428, 'user_id': 733608, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/453974820103eb9411ca4b24e4e0d194?s=256&d=identicon&r=PG', 'display_name': 'Pacha', 'link': 'https://stackoverflow.com/users/733608/pacha'}",True,2004,5,3,1522946416,1341533384,1522946416.0,11354238,,https://stackoverflow.com/questions/11354238/class-instances-communication-in-c,Class instances communication in C#,11354289.0,1543827548.0,Not suitable for this site,,
833,"['c#', 'linq', 'type-conversion']","{'account_id': 1615126, 'reputation': 1805, 'user_id': 1493053, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/49b348f8ae47d60f07238ecdc9e32310?s=256&d=identicon&r=PG', 'display_name': 'Kabi', 'link': 'https://stackoverflow.com/users/1493053/kabi'}",True,33762,5,3,1522931184,1341469997,1341470062.0,11338902,CC BY-SA 3.0,https://stackoverflow.com/questions/11338902/converting-linq-query-result-to-int,converting LINQ query result to int,11338917.0,,,,
834,"['c#', 'sql', 'linq', 'linq-to-sql', 'linq-to-entities']","{'account_id': 469638, 'reputation': 2246, 'user_id': 876325, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/5049129d9fe3ad8f61890ee8a6645ce0?s=256&d=identicon&r=PG', 'display_name': 'ArMaN', 'link': 'https://stackoverflow.com/users/876325/arman'}",True,136,3,1,1522919100,1341893385,1522919100.0,11406463,CC BY-SA 3.0,https://stackoverflow.com/questions/11406463/condition-in-linq-expression,Condition in Linq Expression,11406492.0,,,,
835,"['c#', 'entity-framework', 'ef-code-first']","{'account_id': 160659, 'reputation': 2986, 'user_id': 380890, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/41a1b1fe06ce4a22d2d2e1622c2bef1a?s=256&d=identicon&r=PG', 'display_name': 'ward87', 'link': 'https://stackoverflow.com/users/380890/ward87'}",False,590,2,2,1522918691,1342569058,1522918691.0,11532473,CC BY-SA 3.0,https://stackoverflow.com/questions/11532473/ef-code-first-recursive-query-with-ienumerable,EF Code First recursive Query with IEnumerable&lt;&gt;?,,,,,
836,"['c#', 'winforms']","{'account_id': 376535, 'reputation': 590, 'user_id': 728063, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/41fca161b1b75bec8b885508959be264?s=256&d=identicon&r=PG', 'display_name': 'Siegeon', 'link': 'https://stackoverflow.com/users/728063/siegeon'}",True,27417,1,15,1522751548,1343341748,1522751548.0,11678973,CC BY-SA 3.0,https://stackoverflow.com/questions/11678973/hide-scrollbars-in-the-webbrowser-control,Hide Scrollbars in the webBrowser control,11679043.0,,,,
837,"['c#', 'winforms', 'visual-studio', 'nonclient-area']","{'account_id': 107722, 'reputation': 13082, 'user_id': 286289, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/de0bdc09e0d2707bfcf490c2cad178c5?s=256&d=identicon&r=PG', 'display_name': 'Jason94', 'link': 'https://stackoverflow.com/users/286289/jason94'}",True,427,1,-1,1522751511,1341692511,1522751511.0,11378352,,https://stackoverflow.com/questions/11378352/changing-the-windows-style,Changing the windows style?,11378374.0,1341855598.0,not a real question,,
838,"['c#', 'asp.net']","{'account_id': 1499546, 'reputation': 982, 'user_id': 1404658, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://i.stack.imgur.com/QqHs0.jpg?s=256&g=1', 'display_name': 'H.Ghassami', 'link': 'https://stackoverflow.com/users/1404658/h-ghassami'}",True,1917,3,3,1522049415,1343041362,1343041877.0,11611249,CC BY-SA 3.0,https://stackoverflow.com/questions/11611249/access-the-data-in-gridview-in-runtime-when-it-set-auto-generate,Access the data in Gridview in runtime when it set auto generate?,11611912.0,,,,
839,"['c#', 'linq', 'generics', 'inheritance']","{'account_id': 108338, 'reputation': 5397, 'user_id': 287610, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/27aaf93f80da7308855e7cdd0bb6b4c4?s=256&d=identicon&r=PG', 'display_name': 'Lars Kemmann', 'link': 'https://stackoverflow.com/users/287610/lars-kemmann'}",True,44791,2,14,1521627576,1342821810,,11587536,CC BY-SA 3.0,https://stackoverflow.com/questions/11587536/c-type-arguments-cannot-be-inferred-from-usage-in-select-with-multiple-returns,C# type arguments cannot be inferred from usage in Select with multiple returns,11587644.0,,,,
840,"['c#', 'bit-manipulation', 'endianness']","{'account_id': 36137, 'reputation': 175539, 'user_id': 102937, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/1233ec65168f4aae4d939ae8fe6cde1e?s=256&d=identicon&r=PG', 'display_name': 'Robert Harvey', 'link': 'https://stackoverflow.com/users/102937/robert-harvey'}",True,4327,2,10,1521239494,1343258368,1495540810.0,11660127,CC BY-SA 3.0,https://stackoverflow.com/questions/11660127/faster-way-to-swap-endianness-in-c-with-32-bit-words,Faster way to swap endianness in C# with 32 bit words,11660157.0,,,,
